name,version,scope,license
"@types/trusted-types","2.0.7","production","MIT"
"@typescript-eslint/eslint-plugin","8.66.0","development","MIT"
"@typescript-eslint/parser","8.66.0","development","MIT"
"@typescript-eslint/project-service","8.66.0","development","MIT"
"@typescript-eslint/scope-manager","8.66.0","development","MIT"
"@typescript-eslint/tsconfig-utils","8.66.0","development","MIT"
"@typescript-eslint/type-utils","8.66.0","development","MIT"
"@typescript-eslint/types","8.66.0","development","MIT"
"@typescript-eslint/typescript-estree","8.66.0","development","MIT"
"@typescript-eslint/utils","8.66.0","development","MIT"
"@typescript-eslint/visitor-keys","8.66.0","development","MIT"
"@vitejs/plugin-react","6.0.5","development","MIT"
"@vitest/coverage-v8","4.1.10","development","MIT"
"@vitest/expect","4.1.10","development","MIT"
"@vitest/mocker","4.1.10","development","MIT"
"@vitest/pretty-format","4.1.10","development","MIT"
"@vitest/runner","4.1.10","development","MIT"
"@vitest/snapshot","4.1.10","development","MIT"
"@vitest/spy","4.1.10","development","MIT"
"@vitest/utils","4.1.10","development","MIT"
"abstract-logging","2.0.1","production","MIT"
"acorn","8.18.0","development","MIT"
"acorn-jsx","5.3.2","development","MIT"
"ajv","6.15.0","development","MIT"
"ajv","8.20.0","production","MIT"
"ajv-formats","3.0.1","production","MIT"
"ansi-regex","5.0.1","development","MIT"
"ansi-regex","6.2.2","development","MIT"
"ansi-styles","5.2.0","development","MIT"
"ansi-styles","6.2.3","development","MIT"
"aria-query","5.3.0","development","Apache-2.0"
"assertion-error","2.0.1","development","MIT"
"ast-v8-to-istanbul","1.0.5","development","MIT"
"atomic-sleep","1.0.0","production","MIT"
"avvio","9.3.0","production","MIT"
"axe-core","4.13.0","development","MPL-2.0"
"balanced-match","4.0.4","production","MIT"
"baseline-browser-mapping","2.11.13","development","Apache-2.0"
"bidi-js","1.0.3","development","MIT"
"blake3-wasm","2.1.5","development","MIT"
"brace-expansion","5.0.9","production","MIT"
"browserslist","4.28.8","development","MIT"
"caniuse-lite","1.0.30001809","development","CC-BY-4.0"
"chai","6.2.2","development","MIT"
"chalk","5.6.2","development","MIT"
"cliui","9.0.1","development","ISC"
"concurrently","10.0.4","development","MIT"
"content-disposition","2.0.1","production","MIT"
"convert-source-map","2.0.0","development","MIT"
"cookie","1.1.1","production","MIT"
"core-util-is","1.0.3","production","MIT"
"cross-spawn","7.0.6","development","MIT"
"css-tree","3.2.1","development","MIT"
"css.escape","1.5.1","development","MIT"
"csstype","3.2.3","production","MIT"
"data-urls","7.0.0","development","MIT"
"debug","4.4.3","development","MIT"
"decimal.js","10.6.0","development","MIT"
"deep-is","0.1.4","development","MIT"
"depd","2.0.0","production","MIT"
"dequal","2.0.3","production","MIT"
"detect-libc","2.1.2","development","Apache-2.0"
"dom-accessibility-api","0.5.16","development","MIT"
"dom-accessibility-api","0.6.3","development","MIT"
"dompurify","3.4.13","production","(MPL-2.0 OR Apache-2.0)"
"dotenv","17.4.2","production","BSD-2-Clause"
"electron-to-chromium","1.5.403","development","ISC"
"emoji-regex","10.6.0","development","MIT"
"entities","8.0.0","development","BSD-2-Clause"
"error-stack-parser-es","1.0.5","development","MIT"
"es-module-lexer","2.3.1","development","MIT"
"esbuild","0.28.1","development","MIT"
"esbuild","0.28.2","development","MIT"
"escalade","3.2.0","development","MIT"
"escape-html","1.0.3","production","MIT"
"escape-string-regexp","4.0.0","development","MIT"
"eslint","10.8.1","development","MIT"
"eslint-plugin-react-hooks","7.1.1","development","MIT"
"eslint-scope","9.1.2","development","BSD-2-Clause"
"eslint-visitor-keys","3.4.3","development","Apache-2.0"
"eslint-visitor-keys","5.0.1","development","Apache-2.0"
"espree","11.2.0","development","BSD-2-Clause"
"esquery","1.7.0","development","BSD-3-Clause"
"esrecurse","4.3.0","development","BSD-2-Clause"
"estraverse","5.3.0","development","BSD-2-Clause"
"estree-walker","3.0.3","development","MIT"
"esutils","2.0.3","development","BSD-2-Clause"
"expect-type","1.4.0","development","Apache-2.0"
"fast-decode-uri-component","1.0.1","production","MIT"
"fast-deep-equal","3.1.3","production","MIT"
"fast-json-stable-stringify","2.1.0","development","MIT"
"fast-json-stringify","7.0.1","production","MIT"
"fast-levenshtein","2.0.6","development","MIT"
"fast-querystring","1.1.2","production","MIT"
"fast-uri","3.1.5","production","BSD-3-Clause"
"fast-uri","4.1.2","production","BSD-3-Clause"
"fastify","5.11.3","production","MIT"
"fastify-plugin","6.0.0","production","MIT"
"fastq","1.20.1","production","ISC"
"fdir","6.5.0","development","MIT"
"file-entry-cache","8.0.0","development","MIT"
"find-my-way","9.7.0","production","MIT"
"find-up","5.0.0","development","MIT"
"flat-cache","4.0.1","development","MIT"
"flatted","3.4.4","development","ISC"
"framer-motion","13.1.0","production","MIT"
"fsevents","2.3.2","development","MIT"
"fsevents","2.3.3","development","MIT"
"gensync","1.0.0-beta.2","development","MIT"
"get-caller-file","2.0.5","development","ISC"
"get-east-asian-width","1.6.0","development","MIT"
"glob","13.0.6","production","BlueOak-1.0.0"
"glob-parent","6.0.2","development","ISC"
